Date,Cage1_4mice,Cage2_5mice,Cage3_5mice,Cage4_1mouse,,Avg_permouse_1,Av_permouse_2,Avg_permouse_3,Avg_permouse_4
2020-03-04,-13.41,-14.2,-14.12,-10.51,,3.3525,2.84,2.824,10.51
2020-03-05,-10.39,-11.76,-12.29,-5.7,,2.5975,2.352,2.458,5.7
2020-03-06,-9.86,-10.86,-13.71,-5.94,,2.465,2.172,2.742,5.94
2020-03-07,-21.72,-13.57,-16.92,-12.83,,5.43,2.714,3.384,12.83
2020-03-08,-14.65,-8.67,-12.24,-7.66,,3.6625,1.734,2.448,7.66
2020-03-09,-10.23,-6.14,-10.78,-6.44,,2.5575,1.228,2.156,6.44
2020-03-10,-23.26,-12.02,-11.09,-7.41,,5.815,2.404,2.218,7.41
2020-03-11,-10.43,-8.18,-12.42,-7.3,,2.6075,1.636,2.484,7.3
2020-03-12,-15.85,-11.59,-13.62,-8.94,,3.9625,2.318,2.724,8.94
2020-03-13,-10.62,-10.67,-9.79,-7.29,,2.655,2.134,1.958,7.29
2020-03-14,-6.52,-6.86,-9.34,-3.92,,1.63,1.372,1.868,3.92
2020-03-15,-7.22,-10.47,-12.5,-6.49,,1.805,2.094,2.5,6.49
2020-03-16,-5.88,-10.37,-13.75,-3.96,,1.47,2.074,2.75,3.96
2020-03-17,-11.28,-13.73,-17.08,-10.43,,2.82,2.746,3.416,10.43
2020-03-18,-12.33,-11.04,-17.54,-11.53,,3.0825,2.208,3.508,11.53
