,subject_uuid,subject_nickname,subject_birth_date,sex,subject_strain,subject_line,session_date,avg_weight,total_water
0,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-03,26.309999465942383,1.2416666701436043
1,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-23,25.59000015258789,1.2416666701436043
2,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-25,28.049999237060547,1.2416666701436043
3,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-12,26.059999465942383,1.2416666701436043
4,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-17,28.950000762939453,1.2416666701436043
5,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-04,26.100000381469727,1.2416666701436043
6,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-26,27.75,1.2416666701436043
7,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-15,25.450000762939453,1.2416666701436043
8,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-18,28.540000915527344,1.2416666701436043
9,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-05,27.25,1.2416666701436043
10,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-27,27.350000381469727,1.2416666701436043
11,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-17,25.360000610351562,1.2416666701436043
12,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-19,28.899999618530273,1.2416666701436043
13,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-08,24.8700008392334,1.2416666701436043
14,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-28,27.079999923706055,1.2416666701436043
15,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-18,25.100000381469727,1.2416666701436043
16,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-20,28.950000762939453,1.2416666701436043
17,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-09,25.690000534057617,1.2416666701436043
18,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-01,25.43000030517578,1.2416666701436043
19,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-19,25.399999618530273,1.2416666701436043
20,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-21,29.139999389648438,1.2416666701436043
21,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-10,25.860000610351562,1.2416666701436043
22,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-02,25.65999984741211,1.2416666701436043
23,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-22,25.950000762939453,1.2416666701436043
24,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-24,28.459999084472656,1.2416666701436043
25,0124f697-16ce-4f59-b87c-e53fcb3a27ac,6867,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-11,26.260000228881836,1.2416666701436043
26,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-11,29.299999237060547,1.3649999976158143
27,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-03,29.030000686645508,1.3649999976158143
28,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-23,30.93000030517578,1.3649999976158143
29,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-25,30.200000762939453,1.3649999976158143
30,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-12,29.860000610351562,1.3649999976158143
31,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-17,31.3799991607666,1.3649999976158143
32,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-04,28.969999313354492,1.3649999976158143
33,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-26,30.0,1.3649999976158143
34,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-15,29.639999389648438,1.3649999976158143
35,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-18,30.700000762939453,1.3649999976158143
36,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-05,29.420000076293945,1.3649999976158143
37,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-27,29.489999771118164,1.3649999976158143
38,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-17,30.09000015258789,1.3649999976158143
39,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-19,31.149999618530273,1.3649999976158143
40,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-08,29.420000076293945,1.3649999976158143
41,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-28,29.219999313354492,1.3649999976158143
42,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-18,30.700000762939453,1.3649999976158143
43,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-09-20,31.700000762939453,1.3649999976158143
44,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-09,29.510000228881836,1.3649999976158143
45,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-01,29.209999084472656,1.3649999976158143
46,03956b1f-6836-4c5f-9dea-b57b5292b177,6870,2018-06-25,M,C57BL/6J,Thy1-GCaMP6s,2018-10-19,30.100000381469727,1.3649999976158143
