,subject_uuid,subject_nickname,subject_birth_date,sex,subject_strain,subject_line,session_date,avg_weight
0,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-04,26.0
1,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-14,24.100000381469727
2,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-02-24,26.059999465942383
3,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-05,25.649999618530273
4,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-15,24.190000534057617
5,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-02-25,24.799999237060547
6,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-06,25.100000381469727
7,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-02-26,25.0
8,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-09,26.299999237060547
9,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-02-27,24.979999542236328
10,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-10,24.5649995803833
11,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-02-28,25.299999237060547
12,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-11,25.46500015258789
13,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-02,26.200000762939453
14,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-12,25.299999237060547
15,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-03,26.049999237060547
16,28e692f5-8357-4fd1-be11-22943c560006,CSHL060,2019-10-15,M,C57BL/6J,C57BL/6J,2020-03-13,24.5
17,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-03,24.1200008392334
18,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-11,21.899999618530273
19,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-04,23.239999771118164
20,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-12,23.09000015258789
21,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-02-24,25.959999084472656
22,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-05,23.299999237060547
23,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-13,22.8799991607666
24,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-02-25,24.760000228881836
25,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-06,23.100000381469727
26,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-14,23.280000686645508
27,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-02-26,24.010000228881836
28,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-07,23.200000762939453
29,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-02-27,23.739999771118164
30,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-08,22.3799991607666
31,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-02-28,23.8799991607666
32,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-09,21.920000076293945
33,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-02,25.559999465942383
34,29a27868-db95-4c6d-a1cc-7c9226f032a3,CSHL_019,2018-10-10,M,C57BL/6J,C57BL/6J,2020-03-10,22.639999389648438
