,subject_uuid,session_date,lab_name,subject_project,performance,performance_easy,n_trials_date,training_day,training_week,subject_nickname,sex,subject_birth_date,institution_short,date_trained,weekend_water_regime
0,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-04,churchlandlab,ibl_neuropixel_brainwide_01,0.524823,52.4823,282,0,0,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
1,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-05,churchlandlab,ibl_neuropixel_brainwide_01,0.423792,42.3792,269,1,0,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
2,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-06,churchlandlab,ibl_neuropixel_brainwide_01,0.453968,45.3968,315,2,0,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
3,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-08,churchlandlab,ibl_neuropixel_brainwide_01,0.363881,36.3881,371,3,0,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
4,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-11,churchlandlab,ibl_neuropixel_brainwide_01,0.409766,40.976600000000005,471,4,1,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
5,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-12,churchlandlab,ibl_neuropixel_brainwide_01,0.332743,33.274300000000004,565,5,1,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
6,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-13,churchlandlab,ibl_neuropixel_brainwide_01,0.483926,48.3926,591,6,1,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
7,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-14,churchlandlab,ibl_neuropixel_brainwide_01,0.443674,44.3674,577,7,1,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
8,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-15,churchlandlab,ibl_neuropixel_brainwide_01,0.533502,53.3502,791,8,1,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
9,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-18,churchlandlab,ibl_neuropixel_brainwide_01,0.505017,50.50170000000001,598,9,2,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
10,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-19,churchlandlab,ibl_neuropixel_brainwide_01,0.634823,63.4823,649,10,2,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
11,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-20,churchlandlab,ibl_neuropixel_brainwide_01,0.537037,53.7037,540,11,2,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
12,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-21,churchlandlab,ibl_neuropixel_brainwide_01,0.714286,71.4286,672,12,2,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
13,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-22,churchlandlab,ibl_neuropixel_brainwide_01,0.692308,69.2308,403,13,2,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
14,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-25,churchlandlab,ibl_neuropixel_brainwide_01,0.77939,77.93900000000001,689,14,3,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
15,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-26,churchlandlab,ibl_neuropixel_brainwide_01,0.824427,82.4427,393,15,3,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
16,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-11-27,churchlandlab,ibl_neuropixel_brainwide_01,0.854839,87.4302,496,16,3,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
17,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-02,churchlandlab,ibl_neuropixel_brainwide_01,0.806709,87.01299999999999,626,17,3,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
18,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-03,churchlandlab,ibl_neuropixel_brainwide_01,0.809612,83.47109999999999,541,18,3,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
19,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-04,churchlandlab,ibl_neuropixel_brainwide_01,0.765799,85.0633,807,19,4,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
20,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-05,churchlandlab,ibl_neuropixel_brainwide_01,0.636943,88.66669999999999,628,20,4,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
21,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-06,churchlandlab,ibl_neuropixel_brainwide_01,0.586066,74.82990000000001,732,21,4,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
22,b04fd8a4-1ba4-4bc2-9593-238386281a6c,2019-12-09,churchlandlab,ibl_neuropixel_brainwide_01,0.641558,96.3636,770,22,4,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA
