,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
0,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-11,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0085836922573264,2,1
1,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-20,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0042918303862678,11,1
2,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-29,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0085836922573264,20,6
3,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-07,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.012875554128385,29,6
4,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-19,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9991416616293626,41,5
5,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-10-01,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0158798328799892,53,5
6,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-12,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.995708188504607,3,1
8,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-30,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0042918303862678,21,6
9,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-09,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.982832602891431,31,6
10,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-20,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0081544978841748,42,5
